,title,release_date,revenue,runtime,budget,original_language,genres,imdb_rating,imdb_votes
468,The Terminal,2004-06-17,219417255.0,128.0,60000000.0,en,"Comedy, Drama",7.4,502862.0
478,The Matrix Reloaded,2003-05-15,738599701.0,138.0,150000000.0,en,"Adventure, Action, Thriller, Science Fiction",7.2,639689.0
479,The Matrix Revolutions,2003-11-05,424988211.0,129.0,150000000.0,en,"Adventure, Action, Thriller, Science Fiction",6.7,550851.0
484,Munich,2005-12-23,130982129.0,164.0,70000000.0,en,"Drama, Action, History, Thriller",7.5,242329.0
487,The Passion of the Christ,2004-02-25,612060372.0,127.0,30000000.0,en,Drama,7.2,253896.0
488,The Last Samurai,2003-12-05,456800000.0,154.0,140000000.0,en,"Drama, Action, War",7.8,478452.0
523,Troy,2004-05-13,497400000.0,163.0,175000000.0,en,"Adventure, History, War",7.3,579734.0
533,Saw IV,2007-10-25,139352633.0,93.0,10000000.0,en,"Horror, Thriller, Crime",5.9,167567.0
543,Harry Potter and the Prisoner of Azkaban,2004-05-31,789804554.0,141.0,130000000.0,en,"Adventure, Fantasy",7.9,705913.0
544,Harry Potter and the Goblet of Fire,2005-11-16,895921036.0,157.0,150000000.0,en,"Adventure, Fantasy",7.7,694684.0
545,Harry Potter and the Order of the Phoenix,2007-07-08,938212738.0,138.0,150000000.0,en,"Adventure, Fantasy",7.5,645679.0
561,Meet the Fockers,2004-12-22,516642939.0,115.0,80000000.0,en,"Comedy, Romance",6.3,290510.0
588,Shaun of the Dead,2004-04-09,39396175.0,99.0,6000000.0,en,"Horror, Comedy",7.9,604573.0
591,V for Vendetta,2006-02-23,132511035.0,132.0,54000000.0,en,"Action, Thriller, Science Fiction",8.1,1193295.0
606,Harry Potter and the Half-Blood Prince,2009-07-15,933959197.0,153.0,250000000.0,en,"Adventure, Fantasy",7.6,607578.0
612,Little Miss Sunshine,2006-07-26,100523181.0,102.0,8000000.0,en,"Comedy, Drama",7.8,525978.0
626,Mr. & Mrs. Smith,2005-06-07,487300000.0,119.0,110000000.0,en,"Action, Comedy, Drama, Thriller",6.5,551961.0
630,The Fog,2005-10-14,46201432.0,100.0,18000000.0,en,"Horror, Thriller, Drama, Mystery",3.7,39711.0
645,The Omen,2006-06-06,119975084.0,110.0,25000000.0,en,"Horror, Mystery, Thriller",5.5,64194.0
648,Shrek 2,2004-05-19,935454538.0,92.0,150000000.0,en,"Animation, Family, Comedy, Fantasy, Adventure, Romance",7.3,515253.0
649,Shrek the Third,2007-05-17,813367380.0,93.0,160000000.0,en,"Fantasy, Adventure, Animation, Comedy, Family",6.1,338264.0
673,Underworld: Evolution,2006-01-12,111476513.0,106.0,50000000.0,en,"Fantasy, Action, Thriller",6.7,211273.0
705,Finding Neverland,2004-10-17,116766556.0,106.0,25000000.0,en,"Drama, Fantasy",7.7,213180.0
757,Cars,2006-06-08,461983149.0,117.0,120000000.0,en,"Animation, Adventure, Comedy, Family",7.2,483336.0
758,Cinderella Man,2005-06-02,108539911.0,144.0,88000000.0,en,"Romance, Drama, History",8.0,200591.0
761,Dawn of the Dead,2004-03-19,102278712.0,101.0,26000000.0,en,"Action, Horror, Drama, Science Fiction",7.3,276682.0
785,Ice Age: The Meltdown,2006-03-29,660998756.0,91.0,80000000.0,en,"Animation, Family, Comedy, Adventure",6.8,301171.0
